PlayerName,Player,Runs,Mins,BF,Fours,Sixes,SR,MB_Clust,Uncertainty,X,Y,Clust_KM,X_KM,Y_KM,Clust_PAM,X_PAM,Y_PAM,Clust_clara,X_Clara,Y_Clara
CJ McDermott,6551,432,628,492,36,8,87,2,0.000396759543612957,0.770170209378118,-0.316829619818601,3,0.770170209378118,-0.316829619818601,1,0.770170209378118,-0.316829619818601,1,0.770170209378118,-0.316829619818601
TM Moody,6628,1211,2184,1747,74,18,69,3,0.00125898570658178,0.103289869782455,0.59770022371506,3,0.103289869782455,0.59770022371506,1,0.103289869782455,0.59770022371506,1,0.103289869782455,0.59770022371506
SE Marsh,6683,2312,3618,2850,214,30,81,4,0.0106759429302493,-1.09531696427029,0.0472363098267194,3,-1.09531696427029,0.0472363098267194,1,-1.09531696427029,0.0472363098267194,1,-1.09531696427029,0.0472363098267194
CJ McKay,6903,179,438,319,14,2,56,5,0.00181863812768046,1.2550927666138,1.20320917481526,3,1.2550927666138,1.20320917481526,1,1.2550927666138,1.20320917481526,1,1.2550927666138,1.20320917481526
SP O'Donnell,6995,1242,1918,1534,72,28,80,3,0.110555539383183,-0.0381208084780619,-0.00937585306331284,3,-0.0381208084780619,-0.00937585306331284,1,-0.0381208084780619,-0.00937585306331284,1,-0.0381208084780619,-0.00937585306331284
WB Phillips,7115,852,1283,994,76,5,85,6,0.184747586020183,0.462607321719224,-0.161085557062338,3,0.462607321719224,-0.161085557062338,1,0.462607321719224,-0.161085557062338,1,0.462607321719224,-0.161085557062338
RT Ponting,7133,13470,22295,16727,1210,158,80,1,0,-12.3782700900455,0.563368297036441,3,-12.3782700900455,0.563368297036441,1,-12.3782700900455,0.563368297036441,1,-12.3782700900455,0.563368297036441
TD Paine,7252,818,1402,1168,86,5,70,3,0.00493030730376443,0.520804919478929,0.57496389273038,3,0.520804919478929,0.57496389273038,1,0.520804919478929,0.57496389273038,1,0.520804919478929,0.57496389273038
PR Reiffel,7326,503,1000,709,26,1,70,2,0.0864976790852164,0.913214021181159,0.562959445986291,3,0.913214021181159,0.562959445986291,1,0.913214021181159,0.562959445986291,1,0.913214021181159,0.562959445986291
GM Ritchie,7358,878,1805,1409,47,3,62,3,0.000287836383410123,0.591548156645492,0.99238292494426,3,0.591548156645492,0.99238292494426,1,0.591548156645492,0.99238292494426,1,0.591548156645492,0.99238292494426
L Ronchi,7502,1318,1519,1160,138,40,113,6,0,-0.503634020058165,-1.70072497980498,3,-0.503634020058165,-1.70072497980498,1,-0.503634020058165,-1.70072497980498,1,-0.503634020058165,-1.70072497980498
MJ Slater,7629,987,2017,1634,95,2,60,3,9.31155570149667e-06,0.416506343565102,1.11166409630038,3,0.416506343565102,1.11166409630038,1,0.416506343565102,1.11166409630038,1,0.416506343565102,1.11166409630038
SB Smith,7656,861,1583,1319,67,0,65,3,0.00306928681479679,0.607596679072153,0.854700413755335,3,0.607596679072153,0.854700413755335,1,0.607596679072153,0.854700413755335,1,0.607596679072153,0.854700413755335
KR Stackpole,7666,224,433,387,28,0,57,5,0.0213320911478373,1.21877546999447,1.16687903656012,3,1.21877546999447,1.16687903656012,1,1.21877546999447,1.16687903656012,1,1.21877546999447,1.16687903656012
A Symonds,7702,4990,6228,5401,439,101,92,1,1.00503107532957e-05,-3.97072734150529,-0.688789489052845,3,-3.97072734150529,-0.688789489052845,1,-3.97072734150529,-0.688789489052845,1,-3.97072734150529,-0.688789489052845
MA Taylor,7924,3514,7888,5909,273,7,59,1,1.16871097799454e-07,-2.14039941391956,1.48616452131705,3,-2.14039941391956,1.48616452131705,1,-2.14039941391956,1.48616452131705,1,-2.14039941391956,1.48616452131705
PL Taylor,7926,437,846,583,23,0,74,2,0.00144941434061319,0.957980106701364,0.36258891880171,3,0.957980106701364,0.36258891880171,1,0.957980106701364,0.36258891880171,1,0.957980106701364,0.36258891880171
JR Thomson,7946,181,332,280,9,2,64,5,0.00247684930827652,1.22407808459015,0.806687600203469,3,1.22407808459015,0.806687600203469,1,1.22407808459015,0.806687600203469,1,1.22407808459015,0.806687600203469
A Turner,7989,247,221,309,25,1,79,5,0.133414476816608,1.0749983491179,0.0850336508508211,3,1.0749983491179,0.0850336508508211,1,1.0749983491179,0.0850336508508211,1,1.0749983491179,0.0850336508508211
MRJ Veletta,8105,484,810,642,29,0,75,2,0.000514340295869053,0.920628806514017,0.315602500016787,3,0.920628806514017,0.315602500016787,1,0.920628806514017,0.315602500016787,1,0.920628806514017,0.315602500016787
AC Voges,8119,784,1167,891,52,10,87,6,0.499539259268121,0.48955281126531,-0.300099980424273,3,0.48955281126531,-0.300099980424273,1,0.48955281126531,-0.300099980424273,1,0.48955281126531,-0.300099980424273
KD Walters,8151,497,857,707,37,0,70,2,0.0227678153024176,0.921553405828875,0.561988443128281,3,0.921553405828875,0.561988443128281,1,0.921553405828875,0.561988443128281,1,0.921553405828875,0.561988443128281
SK Warne,8166,1018,1816,1413,60,13,72,3,0.00301454066421747,0.324449610523516,0.449484451079875,3,0.324449610523516,0.449484451079875,1,0.324449610523516,0.449484451079875,1,0.324449610523516,0.449484451079875
SR Watson,8180,5659,8281,6258,556,129,90,1,4.42592629212868e-11,-5.15020218243368,-0.655689264508587,3,-5.15020218243368,-0.655689264508587,1,-5.15020218243368,-0.655689264508587,1,-5.15020218243368,-0.655689264508587
ME Waugh,8189,8455,15086,10985,648,56,76,1,1.77635683940025e-15,-6.69787912211912,0.843269923175821,3,-6.69787912211912,0.843269923175821,1,-6.69787912211912,0.843269923175821,1,-6.69787912211912,0.843269923175821
SR Waugh,8192,7544,12892,9937,526,68,75,1,6.21724893790088e-13,-5.87400994345002,0.707187613766869,3,-5.87400994345002,0.707187613766869,1,-5.87400994345002,0.707187613766869,1,-5.87400994345002,0.707187613766869
DM Wellham,8198,379,901,699,16,0,54,7,6.46182129908635e-05,1.11987517348728,1.33554709235996,3,1.11987517348728,1.33554709235996,1,1.11987517348728,1.33554709235996,1,1.11987517348728,1.33554709235996
JM Wiener,8224,140,404,324,12,0,43,5,0.000148111692521269,1.40149755864474,1.8382166472523,3,1.40149755864474,1.8382166472523,1,1.40149755864474,1.8382166472523,1,1.40149755864474,1.8382166472523
GM Wood,8251,2164,4314,3607,165,4,59,4,0.000255205922412127,-0.672500884403075,1.29929830148123,3,-0.672500884403075,1.29929830148123,1,-0.672500884403075,1.29929830148123,1,-0.672500884403075,1.29929830148123
CL White,8291,2020,3201,2515,142,44,80,4,0.0279771551954581,-0.913539787578327,-0.0229634685018568,3,-0.913539787578327,-0.0229634685018568,1,-0.913539787578327,-0.0229634685018568,1,-0.913539787578327,-0.0229634685018568
GN Yallop,8448,712,1078,1152,51,1,61,7,0.167604418949169,0.795379378097632,1.01730939938843,3,0.795379378097632,1.01730939938843,1,0.795379378097632,1.01730939938843,1,0.795379378097632,1.01730939938843
TJ Zoehrer,8468,130,216,183,9,0,71,5,0.0322749907955093,1.2367977722866,0.469409649785007,3,1.2367977722866,0.469409649785007,1,1.2367977722866,0.469409649785007,1,1.2367977722866,0.469409649785007
MW Alleyne,8520,151,335,255,8,1,59,5,0.00456563784080555,1.28947893141814,1.05117454042021,3,1.28947893141814,1.05117454042021,1,1.28947893141814,1.05117454042021,1,1.28947893141814,1.05117454042021
DL Amiss,8535,822,839,1107,90,1,74,3,0.00215303937427258,0.616459625937475,0.382346556636486,3,0.616459625937475,0.382346556636486,1,0.616459625937475,0.382346556636486,1,0.616459625937475,0.382346556636486
MA Atherton,8579,1778,4159,3023,155,1,58,4,8.29070012260402e-05,-0.398532133476747,1.33196022732906,3,-0.398532133476747,1.33196022732906,1,-0.398532133476747,1.33196022732906,1,-0.398532133476747,1.33196022732906
CWJ Athey,8581,848,1341,1495,54,4,56,3,0.0179946293849693,0.666997988915646,1.26341439425469,3,0.666997988915646,1.26341439425469,1,0.666997988915646,1.26341439425469,1,0.666997988915646,1.26341439425469
JM Anderson,8608,273,804,561,23,0,48,7,0.0287771933200708,1.21165021583878,1.61585326292213,3,1.21165021583878,1.61585326292213,1,1.21165021583878,1.61585326292213,1,1.21165021583878,1.61585326292213
MM Ali,8917,1621,1905,1549,146,52,104,6,3.58350773499438e-08,-0.784325872792888,-1.31045050548604,3,-0.784325872792888,-1.31045050548604,1,-0.784325872792888,-1.31045050548604,1,-0.784325872792888,-1.31045050548604
RJ Bailey,8942,137,85,196,6,2,69,5,0.00440311599827448,1.24943517034132,0.549877562150494,3,1.24943517034132,0.549877562150494,1,1.24943517034132,0.549877562150494,1,1.24943517034132,0.549877562150494
DL Bairstow,8954,206,358,390,12,1,52,5,0.0383721930723602,1.29811886880675,1.39533259798009,3,1.29811886880675,1.39533259798009,1,1.29811886880675,1.39533259798009,1,1.29811886880675,1.39533259798009
GD Barlow,8990,149,126,255,18,0,58,5,0.00322684267727436,1.31582247380729,1.09852441486825,3,1.31582247380729,1.09852441486825,1,1.31582247380729,1.09852441486825,1,1.31582247380729,1.09852441486825
IR Bell,9062,5294,9687,6869,510,30,77,1,0.00801018366593442,-3.92546513182267,0.595779714061094,3,-3.92546513182267,0.595779714061094,1,-3.92546513182267,0.595779714061094,1,-3.92546513182267,0.595779714061094
ID Blackwell,9117,403,646,465,38,9,86,2,0.00613861579404584,0.770756034738133,-0.28559378680502,3,0.770756034738133,-0.28559378680502,1,0.770756034738133,-0.28559378680502,1,0.770756034738133,-0.28559378680502
IT Botham,9163,2107,2668,2649,197,44,79,4,0.0176156621192037,-1.00257296837973,0.0168925150514513,3,-1.00257296837973,0.0168925150514513,1,-1.00257296837973,0.0168925150514513,1,-1.00257296837973,0.0168925150514513
G Boycott,9187,1067,2375,1994,81,0,53,3,0.000246321979639585,0.403042750506143,1.47927676966077,3,0.403042750506143,1.47927676966077,1,0.403042750506143,1.47927676966077,1,0.403042750506143,1.47927676966077
JM Brearley,9208,510,1061,1120,47,0,45,7,0.000439907768536307,0.997592938994385,1.79074967061752,3,0.997592938994385,1.79074967061752,1,0.997592938994385,1.79074967061752,1,0.997592938994385,1.79074967061752
BC Broad,9230,1361,1934,2447,81,3,55,4,0.0677884611090092,0.268918562618419,1.37446594417904,3,0.268918562618419,1.37446594417904,1,0.268918562618419,1.37446594417904,1,0.268918562618419,1.37446594417904
AD Brown,9246,317,519,375,36,3,84,2,0.0472652665788637,0.917566440356754,-0.162404606900586,3,0.917566440356754,-0.162404606900586,1,0.917566440356754,-0.162404606900586,1,0.917566440356754,-0.162404606900586
DR Brown,9254,319,561,481,28,2,66,5,0.171990407415496,1.06837385861193,0.720651703790788,3,1.06837385861193,0.720651703790788,1,1.06837385861193,0.720651703790788,1,1.06837385861193,0.720651703790788
TT Bresnan,9310,871,1223,965,88,6,90,6,4.10719145167437e-05,0.392145307054264,-0.42010086184042,3,0.392145307054264,-0.42010086184042,1,0.392145307054264,-0.42010086184042,1,0.392145307054264,-0.42010086184042
RS Bopara,10582,2685,4656,3443,204,34,77,4,0.0205731955504325,-1.41281789897069,0.255876338418462,3,-1.41281789897069,0.255876338418462,1,-1.41281789897069,0.255876338418462,1,-1.41281789897069,0.255876338418462
SCJ Broad,10617,520,1001,696,35,10,74,2,0.00123184850529634,0.748335411324096,0.303546333032727,3,0.748335411324096,0.303546333032727,1,0.748335411324096,0.303546333032727,1,0.748335411324096,0.303546333032727
AR Caddick,10633,249,531,389,19,3,64,5,0.000973427039262509,1.12876721556236,0.800490645192802,3,1.12876721556236,0.800490645192802,1,1.12876721556236,0.800490645192802,1,1.12876721556236,0.800490645192802
DJ Capel,10653,327,305,479,23,4,68,5,0.351506664050698,1.07364338376927,0.599517545253205,3,1.07364338376927,0.599517545253205,1,1.07364338376927,0.599517545253205,1,1.07364338376927,0.599517545253205
PD Collingwood,10772,5041,8807,6561,359,73,76,1,0.00573144402316195,-3.86829438115639,0.343042263093572,3,-3.86829438115639,0.343042263093572,1,-3.86829438115639,0.343042263093572,1,-3.86829438115639,0.343042263093572
DG Cork,10816,180,331,270,13,1,66,5,0.00309297792966146,1.21454226581138,0.70347443611974,3,1.21454226581138,0.70347443611974,1,1.21454226581138,0.70347443611974,1,1.21454226581138,0.70347443611974
JP Crawley,10870,235,493,408,14,1,57,5,0.00765094868294747,1.22641898995235,1.14973602474711,3,1.22641898995235,1.14973602474711,1,1.22641898995235,1.14973602474711,1,1.22641898995235,1.14973602474711
RDB Croft,10881,340,655,512,23,2,66,2,0.336167819054566,1.05806220098608,0.717617641029951,3,1.05806220098608,0.717617641029951,1,1.05806220098608,0.717617641029951,1,1.05806220098608,0.717617641029951
R Clarke,11724,138,302,218,11,1,63,5,0.00469056169124915,1.26565502563687,0.841777182230157,3,1.26565502563687,0.841777182230157,1,1.26565502563687,0.841777182230157,1,1.26565502563687,0.841777182230157
AN Cook,11728,3190,5679,4129,361,10,77,4,0.23946073593391,-1.84968166639239,0.456952824021397,3,-1.84968166639239,0.456952824021397,1,-1.84968166639239,0.456952824021397,1,-1.84968166639239,0.456952824021397
PAJ DeFreitas,11865,690,825,823,46,10,83,2,0.000238747845942577,0.616472686936672,-0.134698037630884,3,0.616472686936672,-0.134698037630884,1,0.616472686936672,-0.134698037630884,1,0.616472686936672,-0.134698037630884
MH Denness,11870,264,96,417,17,2,63,5,0.00384080067320114,1.20609454242907,0.839557058584112,3,1.20609454242907,0.839557058584112,1,1.20609454242907,0.839557058584112,1,1.20609454242907,0.839557058584112
PR Downton,11931,242,217,358,13,0,67,5,0.00153351103289201,1.20657832491161,0.657423638889623,3,1.20657832491161,0.657423638889623,1,1.20657832491161,0.657423638889623,1,1.20657832491161,0.657423638889623
JWM Dalrymple,11974,460,792,619,31,3,74,2,0.000454409320519544,0.90016254275656,0.329170187248047,3,0.90016254275656,0.329170187248047,1,0.90016254275656,0.329170187248047,1,0.90016254275656,0.329170187248047
SM Davies,12450,244,327,231,36,0,105,9,0.128969743512298,0.855330586544544,-1.18770168698719,3,0.855330586544544,-1.18770168698719,1,0.855330586544544,-1.18770168698719,1,0.855330586544544,-1.18770168698719
JL Denly,12454,268,471,409,31,1,65,5,0.00760627614679621,1.11903047277746,0.756122279503601,3,1.11903047277746,0.756122279503601,1,1.11903047277746,0.756122279503601,1,1.11903047277746,0.756122279503601
MA Ealham,12466,659,1238,1034,47,11,63,3,0.0011560521980839,0.676210475033312,0.844661427436278,3,0.676210475033312,0.844661427436278,1,0.676210475033312,0.844661427436278,1,0.676210475033312,0.844661427436278
